Endgame,White,Parameter,Move,Evaluation_Function,Nodes_Number,Time
1,False,1,128,10,144,1.06528
1,False,1,129,10,155,1.07986
1,False,1,130,10,150,1.07307
1,False,1,131,10,132,1.07223
1,False,1,132,10,140,1.07127
1,False,1,133,10,154,1.07137
1,False,1,134,10,147,1.07877
1,False,1,135,10,150,1.07821
1,False,1,136,10,150,1.08237
1,False,1,137,10,147,1.07232
1,False,1,138,10,158,1.08402
1,False,1,139,10,168,1.07789
1,False,1,140,90,182,1.08427
1,False,1,141,90,194,1.11363
1,False,1,142,90,198,1.11753
1,False,1,143,90,182,1.1889
1,False,1,144,90,184,1.12735
1,False,1,145,90,204,1.13015
1,False,1,146,0,230,1.13527
1,False,1,147,0,243,1.14516
2,True,1,1,10,41,1.00196
2,True,1,2,10,42,1.02376
2,True,1,3,10,39,1.01405
2,True,1,4,10,39,1.02151
2,True,1,5,10,54,1.01282
2,True,1,6,10,45,1.00382
2,True,1,7,10,49,1.0054
2,True,1,8,90,44,1.01709
2,True,1,9,90,47,1.02458
2,True,1,10,90,55,1.02421
2,False,2,1,10,78,2.02442
2,False,2,2,10,77,2.0167
2,False,2,3,10,79,2.01267
2,False,2,4,10,103,2.01684
2,False,2,5,10,96,2.01296
2,False,2,6,10,88,2.01258
2,False,2,7,10,93,2.00992
2,False,2,8,90,99,2.02064
2,False,2,9,90,97,2.01352
2,True,2,1,10,88,2.01606
2,True,2,2,10,108,2.00575
2,False,1,1,10,40,1.00338
2,False,1,2,-70,57,1.01362
3,True,1,1,30,74,1.01104
3,True,1,2,30,70,1.00137
3,True,1,3,-40,64,1.0085
3,True,1,4,-40,74,1.00505
3,True,1,5,-40,77,1.02009
3,True,1,6,40,48,1.02038
3,True,1,7,40,76,1.01631
3,True,1,8,40,79,1.00394
3,True,1,9,40,73,1.01641
3,True,1,10,130,92,1.01744
3,True,1,11,50,104,1.00823
3,False,2,1,30,137,2.00669
3,False,2,2,-50,140,2.00471
3,False,2,3,-40,144,2.01376
3,False,2,4,-40,145,2.00907
3,False,2,5,-40,117,2.01485
3,False,2,6,40,142,2.01666
3,False,2,7,40,158,2.01098
3,False,2,8,40,168,2.00427
3,False,2,9,40,147,2.01351
3,False,2,10,50,220,2.01174
3,True,2,1,30,137,2.00327
3,True,2,2,-50,129,2.02423
3,False,1,1,-50,72,1.00526
4,True,1,1,40,46,1.00934
4,True,1,2,50,41,1.01054
4,True,1,3,50,50,1.00884
4,True,1,4,50,53,1.00401
4,True,1,5,50,53,1.02225
4,True,1,6,50,53,1.01112
4,True,1,7,50,53,1.00478
4,True,1,8,50,53,1.01978
4,True,1,9,50,55,1.00528
4,True,1,10,50,60,1.03045
4,True,1,11,50,57,1.01517
4,True,1,12,50,52,1.00595
4,True,1,13,-30,56,1.00312
4,True,1,14,60,58,1.01059
4,True,1,15,60,61,1.01329
4,True,1,16,60,57,1.02051
4,True,1,17,60,62,1.0062
4,True,1,18,60,59,1.01544
4,True,1,19,60,64,1.01079
4,True,1,20,60,66,1.00928
4,True,1,21,60,63,1.02411
4,True,1,22,60,69,1.01091
4,True,1,23,60,73,1.00969
4,True,1,24,-20,77,1.00762
4,True,1,25,-20,72,1.0145
4,True,1,26,-20,82,1.02306
4,True,1,27,-20,80,1.00924
4,True,1,28,-20,84,1.0219
4,True,1,29,-20,79,1.00889
4,True,1,30,-20,81,1.02413
4,False,2,1,40,102,2.02625
4,False,2,2,50,100,2.0005
4,False,2,3,50,103,2.00969
4,False,2,4,50,98,2.01172
4,False,2,5,50,99,2.00664
4,False,2,6,50,104,2.00212
4,False,2,7,50,99,2.013
4,False,2,8,50,102,2.0113
4,False,2,9,50,117,2.01201
4,False,2,10,50,114,2.00711
4,False,2,11,50,112,2.0179
4,False,2,12,-30,113,2.01006
4,False,2,13,-30,120,2.01309
4,False,2,14,60,127,2.01656
4,False,2,15,60,124,2.01932
4,False,2,16,60,123,2.00574
4,False,2,17,60,133,2.01699
4,False,2,18,60,119,2.01225
4,False,2,19,60,128,2.01826
4,False,2,20,60,131,2.01988
4,False,2,21,60,133,2.01033
4,False,2,22,60,140,2.01744
4,False,2,23,-20,140,2.01377
4,False,2,24,-20,146,2.00554
4,False,2,25,-20,150,2.00579
4,False,2,26,-20,150,2.00998
