Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Nodes,Total_Time,Oppo_Total_Num,Oppo_Total_Time
3,MCTS,3,True,MCTS,2,1,0,0,2,335,6.02553,103,2.01149
3,MCTS,3,True,MCTS,2,1,0,0,4,786,12.0559,424,6.03543
3,MCTS,3,True,MCTS,2,1,0,0,4,730,12.028,428,6.03777
3,MCTS,3,True,MCTS,2,1,0,0,2,392,6.02338,147,2.00221
3,MCTS,3,True,MCTS,2,1,0,0,3,385,9.0089,264,4.01752
3,MCTS,4,True,MCTS,1,1,0,0,2,500,8.0181,57,1.01626
3,MCTS,4,True,MCTS,1,1,0,0,3,826,12.0472,153,2.02873
3,MCTS,4,True,MCTS,1,1,0,0,2,530,8.01261,53,1.013
3,MCTS,4,True,MCTS,1,1,0,0,13,4093,52.1021,965,12.1417
3,MCTS,4,True,MCTS,1,1,0,0,2,544,8.01412,79,1.00663
3,MCTS,4,True,MCTS,2,1,0,0,6,1629,24.0394,746,10.0599
3,MCTS,4,True,MCTS,2,1,0,0,2,525,8.0303,127,2.00575
3,MCTS,4,True,MCTS,2,1,0,0,3,541,12.0241,259,4.03284
3,MCTS,4,True,MCTS,2,1,0,0,2,523,8.00686,145,2.01878
3,MCTS,4,True,MCTS,2,0,0,1,15,3643,60.1975,1788,30.252
3,MCTS,4,True,MCTS,3,1,0,0,54,37227,218.129,27616,162.699
3,MCTS,4,True,MCTS,3,1,0,0,4,867,16.01,660,9.04616
3,MCTS,4,True,MCTS,3,1,0,0,2,514,8.02566,183,3.03174
3,MCTS,4,True,MCTS,3,1,0,0,3,527,12.0159,392,6.00765
3,MCTS,4,True,MCTS,3,1,0,0,2,535,8.02974,211,3.01398
3,MCTS,5,True,MCTS,1,1,0,0,3,1008,15.0157,164,2.02245
3,MCTS,5,True,MCTS,1,1,0,0,4,1290,20.0771,211,3.0152
3,MCTS,5,True,MCTS,1,1,0,0,4,1341,20.0738,239,3.03582
3,MCTS,5,True,MCTS,1,1,0,0,4,1467,20.0104,228,3.04685
3,MCTS,5,True,MCTS,1,1,0,0,3,962,15.0156,136,2.03779
3,MCTS,5,True,MCTS,2,1,0,0,2,659,10.028,139,2.00544
3,MCTS,5,True,MCTS,2,1,0,0,2,654,10.0191,144,2.00654
3,MCTS,5,True,MCTS,2,1,0,0,2,672,10.0167,134,2.01861
3,MCTS,5,True,MCTS,2,1,0,0,2,646,10.0315,138,2.02953
3,MCTS,5,True,MCTS,2,1,0,0,2,699,10.021,141,2.00369
3,MCTS,5,True,MCTS,3,1,0,0,2,704,10.0185,217,3.00707
3,MCTS,5,True,MCTS,3,1,0,0,5,1647,25.0385,769,12.0453
3,MCTS,5,True,MCTS,3,1,0,0,2,675,10.0126,207,3.00641
3,MCTS,5,True,MCTS,3,1,0,0,2,711,10.0099,221,3.01156
3,MCTS,5,True,MCTS,3,1,0,0,3,1043,15.0413,442,6.03222
3,MCTS,5,True,MCTS,4,1,0,0,3,1159,15.0266,651,8.02955
3,MCTS,5,True,MCTS,4,1,0,0,2,683,10.019,292,4.00807
3,MCTS,5,True,MCTS,4,1,0,0,2,706,10.0235,288,4.00966
3,MCTS,5,True,MCTS,4,1,0,0,2,702,10.0046,300,4.00771
3,MCTS,5,True,MCTS,4,1,0,0,4,1437,20.0374,904,12.026
4,MCTS,2,True,MCTS,1,1,0,0,30,5020,60.3078,2484,29.3413
4,MCTS,2,True,MCTS,1,0,0,1,63,9383,126.937,4709,64.2206
4,MCTS,2,True,MCTS,1,0,0,1,17,2138,34.2012,1088,17.1898
4,MCTS,2,True,MCTS,1,1,0,0,37,4620,74.4584,2260,36.5605
4,MCTS,2,True,MCTS,1,0,0,1,10,938,20.1023,478,10.1365
4,MCTS,3,True,MCTS,1,1,0,0,37,8969,111.463,2999,36.6513
4,MCTS,3,True,MCTS,1,1,0,0,95,24048,286.767,8034,97.8497
4,MCTS,3,True,MCTS,1,0,0,1,39,7474,117.6,2512,39.5609
4,MCTS,3,True,MCTS,1,0,1,0,100,27886,301.962,9293,103.237
4,MCTS,3,True,MCTS,1,1,0,0,91,21320,274.585,7097,92.9216
4,MCTS,3,True,MCTS,2,0,1,0,42,6597,2344.94,4397,82.8608
4,MCTS,3,True,MCTS,2,0,0,1,6,917,18.0707,581,12.0874
4,MCTS,3,True,MCTS,2,1,0,0,31,7050,93.4593,4543,60.5793
4,MCTS,3,True,MCTS,2,1,0,0,23,3780,69.3485,2438,44.3469
4,MCTS,3,True,MCTS,2,0,0,1,42,8642,126.732,5809,84.798
4,MCTS,4,True,MCTS,1,0,0,1,39,11495,156.594,2887,39.8579
4,MCTS,4,True,MCTS,1,0,0,1,24,5328,96.2922,1338,24.3745
4,MCTS,4,True,MCTS,1,1,0,0,13,2773,52.1172,653,12.1761
4,MCTS,4,True,MCTS,1,0,0,1,63,20877,253.034,5426,65.0744
4,MCTS,4,True,MCTS,1,1,0,0,5,990,20.0669,196,4.04366
4,MCTS,4,True,MCTS,2,0,0,1,70,20668,281.97,10471,141.924
4,MCTS,4,True,MCTS,2,1,0,0,17,3991,68.2657,1888,32.2756
4,MCTS,4,True,MCTS,2,0,0,1,12,2412,48.1407,1211,24.2022
4,MCTS,4,True,MCTS,2,1,0,0,46,11579,184.773,5697,91.0519
4,MCTS,4,True,MCTS,2,0,0,1,7,1290,28.0989,670,14.0882
4,MCTS,4,True,MCTS,3,0,0,1,16,3401,64.2797,2500,48.2394
4,MCTS,4,True,MCTS,3,1,0,0,56,14794,225.243,11747,166.522
4,MCTS,4,True,MCTS,3,1,0,0,64,20504,257.761,15296,191.053
4,MCTS,4,True,MCTS,3,0,0,1,8,1943,32.0896,1255,24.0886
4,MCTS,4,True,MCTS,3,0,0,1,44,13042,177.06,9723,132.917
4,MCTS,5,True,MCTS,1,1,0,0,20,6760,100.228,1290,19.3254
4,MCTS,5,True,MCTS,1,1,0,0,15,3868,75.1993,732,14.2929
4,MCTS,5,True,MCTS,1,1,0,0,52,20632,260.853,4318,52.6564
4,MCTS,5,True,MCTS,1,0,0,1,10,3305,50.1068,654,10.1404
4,MCTS,5,True,MCTS,1,1,0,0,37,10973,185.431,2164,36.7677
4,MCTS,5,True,MCTS,2,0,0,1,38,11805,190.698,4756,76.878
4,MCTS,5,True,MCTS,2,0,1,0,60,37641,302.533,14751,120.976
4,MCTS,5,True,MCTS,2,1,0,0,6,1469,30.0732,500,10.058
